REQ-ID,原子要求,来源文件,来源位置,摘录/说明,类别,验收条件,关联审查项
REQ-M1-01,解析Word格式报告模板识别固定章节标题与动态占位符,7.（创灵境）…企业出题.docx,P027|5.1.1,"系统需支持解析Word格式的报告模板，识别固定章节标题和动态数据占位符（如{{产品名称}}、{{本月材料成本}}、{{环比变动率}}等）",赛题强制,能解析赛题docx模板并提取占位符清单,AUD-M1-模板解析
REQ-M1-02,模板至少5个章节（封面/总成本概览/要素明细/重点产品专项/总结建议）,7.（创灵境）…企业出题.docx,P028|5.1.1,"模板至少包含5个章节：①封面与基本信息 ②总成本概览 ③成本要素明细分析 ④重点产品专项分析 ⑤总结与建议",赛题强制,生成报告含全部5+章节且顺序正确,AUD-M1-章节
REQ-M1-03,知识库含产品知识（配方/工艺路线）,7.（创灵境）…企业出题.docx,P031|5.1.2,"产品知识：产品配方（如某某口服液含A药材X克、B药材Y克）、生产工艺路线（提取→浓缩→制粒→包装）",赛题强制,配方与工艺文档可导入并可检索命中,AUD-KB
REQ-M1-04,知识库含行业知识（行情/GMP/行业基准）,7.（创灵境）…企业出题.docx,P032|5.1.2,"行业知识：药材市场价格行情、GMP合规要求、行业成本基准数据",赛题强制,三类行业知识入库并可检索,AUD-KB
REQ-M1-05,知识库含企业内部知识（设备清单/异常记录/对标基线）,7.（创灵境）…企业出题.docx,P033|5.1.2,"企业内部知识：车间设备清单、历史成本异常处理记录、同集团工厂对标基线",赛题强制,企业内部文档入库并可检索,AUD-KB
REQ-M1-06,知识文档格式支持PDF/Word/TXT,7.（创灵境）…企业出题.docx,P034|5.1.2,"知识库文档格式支持PDF、Word、TXT",赛题强制,三种格式真实解析入库,AUD-KB-格式
REQ-M1-07,混合检索：语义向量+BM25且结果标注来源,7.（创灵境）…企业出题.docx,P035|5.1.2,"检索策略需支持：语义检索（向量相似度）+关键词检索（BM25）混合，检索结果需标注来源文档",赛题强制,检索结果含来源文档标注且两路真实融合,AUD-RAG
REQ-M1-08,用户可选分析主题（月度/季度/专题）月份与目标产品,7.（创灵境）…企业出题.docx,P037|5.1.3,"根据用户选择的分析主题（月度成本分析/季度成本分析/专题分析）、分析月份、目标产品，自动生成完整报告",赛题强制,三种主题均可生成且入参生效,AUD-M1-主题
REQ-M1-09,报告融合模板+数据+RAG+大模型文本,7.（创灵境）…企业出题.docx,P038|5.1.3,"报告内容需融合：模板结构 + 数据填充 + RAG检索的行业知识/工艺知识增强 + 大模型生成的分析文本",赛题强制,四要素均在产物中可验证,AUD-M1-融合
REQ-M1-10,PDF和Word双格式导出,7.（创灵境）…企业出题.docx,P039|5.1.3,"支持PDF和Word双格式导出",赛题强制,两种格式文件可下载且可打开,AUD-M1-导出
REQ-M1-11,专业排版（页眉页脚/表格样式/图表嵌入）,7.（创灵境）…企业出题.docx,P039|5.1.3,"格式需保持专业排版（页眉页脚、表格样式、图表嵌入）",赛题强制,产物含页眉页脚表格图表（结构可证+视觉待验）,AUD-M1-排版
REQ-M1-12,3个分析场景报告结构完整度评测,7.（创灵境）…企业出题.docx,P041|5.1.4,"给定3个分析场景（不同产品/月份），评测报告结构完整度（是否包含模板所有章节）",赛题评测,评测报告含3场景结构完整度结果,AUD-EVAL
REQ-M1-13,归因合理性人工评分0-5,7.（创灵境）…企业出题.docx,P042|5.1.4,"归因合理性人工评分（0-5分）…是否定位到具体成本要素、是否引用知识库中的工艺/行业信息、建议是否可执行",赛题评测,真人评分记录存在（不可由AI代填）,AUD-EVAL
REQ-M2-01,提取各成本要素时间序列,7.（创灵境）…企业出题.docx,P045|5.2.1,"从模拟成本数据包中提取各成本要素的时间序列数据",赛题强制,看板数据层有逐月要素序列,AUD-M2-数据层
REQ-M2-02,环比变动计算（本月vs上月）,7.（创灵境）…企业出题.docx,P046|5.2.1,计算环比变动（本月 vs 上月）,赛题强制,环比数值独立复算一致,AUD-M2-指标
REQ-M2-03,同比变动计算（本月vs去年同月）,7.（创灵境）…企业出题.docx,P046|5.2.1,计算同比变动（本月 vs 去年同月）,赛题强制,同比数值用2025数据独立复算一致,AUD-M2-指标
REQ-M2-04,预算偏差计算,7.（创灵境）…企业出题.docx,P046|5.2.1,计算预算偏差,赛题强制,对预算CSV口径复算一致,AUD-M2-指标
REQ-M2-05,贡献度=要素变动额/总成本变动额×100%,7.（创灵境）…企业出题.docx,P047|5.2.1,"贡献度 = 该要素变动额 / 总成本变动额 × 100%",赛题强制,公式实现与负/超100%情形处理正确,AUD-M2-贡献度
REQ-M2-06,使用ECharts可交互看板,7.（创灵境）…企业出题.docx,P049|5.2.2,"使用ECharts实现可交互的成本看板",赛题强制,前端ECharts渲染且交互可用,AUD-M2-看板
REQ-M2-07,趋势图：近6个月单位成本折线,7.（创灵境）…企业出题.docx,P050|5.2.2,"趋势图：近6个月单位成本走势（折线图）",赛题强制,折线图存在且数据为近6个月单位成本,AUD-M2-图表
REQ-M2-08,瀑布图：成本变动分解,7.（创灵境）…企业出题.docx,P051|5.2.2,"瀑布图：成本变动分解（展示各项要素对总变动的贡献）",赛题强制,瀑布图存在且分解值与贡献度一致,AUD-M2-图表
REQ-M2-09,结构图：本月成本构成饼/环图,7.（创灵境）…企业出题.docx,P052|5.2.2,"结构图：本月成本构成（饼图/环形图）",赛题强制,构成图存在且与三要素数据一致,AUD-M2-图表
REQ-M2-10,热力图（可选加分）,7.（创灵境）…企业出题.docx,P053|5.2.2,"热力图：产品×月份×成本要素三维交叉分析（可选加分项）",赛题加分,热力图实现且数据正确,AUD-M2-热力图
REQ-M2-11,大模型接收看板JSON生成可入报告的归因段落,7.（创灵境）…企业出题.docx,"P055-P058|5.2.3","大模型接收看板波动数据（JSON格式），自动生成归因分析段落…合格示例含量价拆解与可执行建议",赛题强制,归因段落由模型生成且质量对标示例（含要素定位/知识引用/建议）,AUD-M2-归因
REQ-M2-12,波动阈值告警：要素环比严格超±10%生成重点分析,7.（创灵境）…企业出题.docx,P059|5.2.3,"当某项成本要素环比变动超过±10%时，自动生成重点分析段落",赛题强制,阈值判断>10%（非≥）边界正确且自动触发,AUD-M2-告警
REQ-M3-01,第一步找差异：同产品同期差异金额与差异率总览表,7.（创灵境）…企业出题.docx,"TABLE2|5.3.1","对比本单位与对标单位（中药二厂）同产品同期成本，计算差异金额和差异率…差异总览表（产品×成本要素×差异金额×差异率）",赛题强制,总览表字段齐全且数值独立复算一致,AUD-M3-找差异
REQ-M3-02,第二步拆结构：按要素与产品逐层拆解可下钻至原材料,7.（创灵境）…企业出题.docx,TABLE2|5.3.1,"将总差异按成本要素（材料/人工/制造费用）和产品维度逐层拆解，定位差异主要来源…差异结构树（可下钻至原材料明细）",赛题强制,结构树可下钻且原材料下钻受真实数据支持,AUD-M3-拆结构
REQ-M3-03,第三步拆原因：RAG+大模型归因,7.（创灵境）…企业出题.docx,TABLE2|5.3.1,"结合RAG检索的行业/工艺知识，大模型生成差异归因分析",赛题强制,归因文本引用检索知识且由模型生成,AUD-M3-拆原因
REQ-M3-04,输出对标差异对比表（表格含数据）,7.（创灵境）…企业出题.docx,P064|5.3.2,对标差异对比表（表格，含数据）,赛题强制,差异表含真实数据,AUD-M3-输出
REQ-M3-05,归因分析文本分段论述,7.（创灵境）…企业出题.docx,P065|5.3.2,归因分析文本（大模型生成，分段论述）,赛题强制,分段的模型归因文本,AUD-M3-输出
REQ-M3-06,改进建议列表可转化为RPA指令,7.（创灵境）…企业出题.docx,P066|5.3.2,改进建议列表（可转化为RPA指令）,赛题强制,建议→RPA任务字段映射可行,AUD-M3-M4
REQ-M3-07,三步法输出格式正确率评测,7.（创灵境）…企业出题.docx,P068|5.3.3,三步法输出格式正确率（差异表是否包含必要字段、归因逻辑是否自洽）,赛题评测,评测报告含格式正确率结果,AUD-EVAL
REQ-M3-08,差异计算准确率与标准答案误差≤1%,7.（创灵境）…企业出题.docx,P069|5.3.3,"差异计算准确率（与标准答案对比，误差≤1%）",赛题评测,对标差异独立复算误差≤1%,AUD-M3-精度
REQ-M4-01,大模型生成结构化整改任务JSON（五要素）,7.（创灵境）…企业出题.docx,"P072-P077|5.4.1","任务标题/责任人（部门岗位）/任务来源/优先级（高中低）/截止时间",赛题强制,任务JSON含五要素,AUD-M4-任务
REQ-M4-02,HTTP API发送整改任务到模拟RPA服务,7.（创灵境）…企业出题.docx,P079|5.4.2,"系统通过HTTP API将整改任务JSON发送到模拟RPA服务",赛题强制,真实HTTP调用模拟服务,AUD-M4-调度
REQ-M4-03,模拟RPA返回200=成功触发判定,7.（创灵境）…企业出题.docx,P080|5.4.2,"模拟RPA服务接收到任务后，返回执行状态（200=成功触发）",赛题强制,按HTTP状态码判定并记录,AUD-M4-调度
