REQ-ID,要求类别,来源,位置,摘录/内容,验收条件,审查项关联,判定
REQ-M1-01,赛题强制,赛题原文DOCX,5.1.1 P26,"系统需支持解析Word格式的报告模板，识别固定章节标题","解析 Word 模板并识别章节标题（模板6章）",AUD-REP-02,满足(静态确认)
REQ-M1-02,赛题强制,赛题原文DOCX,5.1.1 P26,"识别动态数据占位符（如{{产品名称}}、{{本月材料成本}}、{{环比变动率}}等）","{{}}占位符全量识别与填充（模板101唯一占位符）",AUD-REP-02,满足(静态确认:101占位符全覆盖+残留三重防线)
REQ-M1-03,赛题强制,赛题原文DOCX,5.1.1 P27,"模板至少包含5个章节：①封面与基本信息②总成本概览③成本要素明细分析④重点产品专项分析⑤总结与建议","题给模板6章全部渲染；报告结构完整度检查覆盖全部章节",AUD-REP-02/AUD-DEL-03,满足(代码)/交付回执断链(AUD-DEL-01)
REQ-M1-04,赛题强制,赛题原文DOCX,5.1.2 P29-32,"知识库至少包含三类知识：产品知识/行业知识/企业内部知识","三类知识均有文档入库且可被检索",AUD-RAG-01,部分满足(补充知识未进报告检索链)
REQ-M1-05,赛题强制,赛题原文DOCX,5.1.2 P33,"知识库文档格式支持PDF、Word、TXT","三种格式真实解析入库",AUD-RAG-02,满足(静态确认;OCR未实现但诚实标注非赛题要求)
REQ-M1-06,赛题强制,赛题原文DOCX,5.1.2 P34,"语义检索（向量相似度）+关键词检索（BM25）混合，检索结果需标注来源文档","混合检索+RRF融合+来源(文档/页码)标注",AUD-RAG-03,满足(静态确认;向量不可用时诚实降级)
REQ-M1-07,赛题强制,赛题原文DOCX,5.1.3 P36,"根据用户选择的分析主题（月度/季度/专题）、分析月份、目标产品自动生成","三主题+月份+产品参数化生成",AUD-REP-02,满足(静态确认:_months支持monthly/quarterly/special)
REQ-M1-08,赛题强制,赛题原文DOCX,5.1.3 P37,"报告内容需融合：模板结构+数据填充+RAG检索的行业知识/工艺知识增强+大模型生成的分析文本","四层融合；LLM文本须可入正文",AUD-REP-03,部分满足(需关注问题/3.3变动说明为固定文案)
REQ-M1-09a,赛题强制,赛题原文DOCX,5.1.3 P38,"支持PDF和Word双格式导出","docx+pdf 双产物",AUD-REP-02,满足(静态确认+历史实测)
REQ-M1-09b,赛题强制,赛题原文DOCX,5.1.3 P38,"格式需保持专业排版（页眉页脚、表格样式、图表嵌入）","排版要素在产物中存在且不损坏",AUD-REP-04/VISUAL,待人工视觉(文本层/结构层已确认;版式效果未看)
REQ-M1-10,赛题强制(评测),赛题原文DOCX,5.1.4 P40,"给定3个分析场景评测报告结构完整度（是否包含模板所有章节）","3场景产物+结构完整度回执",AUD-DEL-03,部分满足(仅2场景有回执且哈希失配)
REQ-M1-11,赛题强制(评测·人工),赛题原文DOCX,5.1.4 P41,"归因合理性人工评分（0-5分）","人工评分表+分数记录",AUD-DEL-03/VISUAL,不满足(当前全PENDING待人工)
REQ-M2-01,赛题强制,赛题原文DOCX,5.2.1 P44-45,"提取各成本要素时间序列；计算环比/同比/预算偏差","三比较全覆盖",AUD-CORE-01,满足(本轮实测:环比/同比/预算偏差零误差)
REQ-M2-02,赛题强制,赛题原文DOCX,5.2.1 P46,"贡献度=该要素变动额/总成本变动额×100%","公式一致;负值/>100%不裁剪并解释",AUD-CORE-02,满足(本轮实测:单位与总额双口径齐备,零误差,负/超100%带原因)
REQ-M2-03,赛题强制,赛题原文DOCX,5.2.2 P49,"趋势图：近6个月单位成本走势（折线图）","ECharts折线+近6月",AUD-FE-03,满足(静态确认:Analysis.tsx trend+近6月)
REQ-M2-04,赛题强制,赛题原文DOCX,5.2.2 P50,"瀑布图：成本变动分解","ECharts瀑布图",AUD-FE-03,满足(静态确认;缺比较期全零平桥为P3)
REQ-M2-05,赛题强制,赛题原文DOCX,5.2.2 P51,"结构图：本月成本构成（饼图/环形图）","ECharts环形图",AUD-FE-03,满足(静态确认)
REQ-M2-06,赛题加分,赛题原文DOCX,5.2.2 P52,"热力图：产品×月份×成本要素三维交叉分析","热力图实现",AUD-FE-03,满足(静态确认:ProductMonthHeatmap+dashboard.product_month_grid)
REQ-M2-07,赛题强制,赛题原文DOCX,5.2.3 P54-57,"大模型接收看板波动数据(JSON)自动生成归因分析段落，达到可放入正式报告质量","LLM实调+质量合同(不合格例拒绝)+降级诚实",AUD-NAR-02,满足(静态确认;质量最终待人工0-5评分)
REQ-M2-08,赛题强制,赛题原文DOCX,5.2.3 P58,"波动阈值告警：某项成本要素环比变动超过±10%时自动生成重点分析段落","严格>10%触发(=10不触发);要素环比口径;自动重点分析执行",AUD-CORE-03/AUD-NAR-03,满足(静态确认+单测;边界值已测)
REQ-M3-01,赛题强制,赛题原文DOCX,5.3.1 T1R1,"找差异：对比本单位与对标单位同产品同期成本，差异总览表(产品×要素×差异金额×差异率)","同产品同期配对+金额+率+表",AUD-CORE-04,满足(本轮实测:差异金额/率零误差,方向分母声明)
REQ-M3-02,赛题强制,赛题原文DOCX,5.3.1 T1R2,"拆结构：总差异按成本要素和产品维度逐层拆解，可下钻至原材料明细","要素层拆解;原材料下钻受真实数据支持",AUD-CORE-04/AUD-IND-01,部分满足(二厂无真实明细时诚实止于要素层+假设表述;启用合成明细则带标注)
REQ-M3-03,赛题强制,赛题原文DOCX,5.3.1 T1R3,"拆原因：结合RAG检索的行业/工艺知识，大模型生成差异归因分析","RAG+LLM归因",AUD-NAR-02/AUD-RAG-01,满足(静态确认)
REQ-M3-04,赛题强制,赛题原文DOCX,5.3.2 P63-65,"输出：对标差异对比表(含数据)+归因分析文本(分段)+改进建议列表(可转化为RPA指令)","三件套齐备且建议可转任务",AUD-CORE-04/AUD-API-01,满足(静态确认)
REQ-M3-05,赛题强制(评测),赛题原文DOCX,5.3.3 P67,"三步法输出格式正确率（差异表必要字段、归因逻辑自洽）","格式检查回执",AUD-DEL-03,部分满足(历史回执3/3但绑定旧提交)
REQ-M3-06,赛题强制(评测),赛题原文DOCX,5.3.3 P68,"差异计算准确率与标准答案对比误差≤1%","对拍证据",AUD-CORE-04,满足(本轮实测:11项零误差,含对标差异;交付对拍表缺赛题三场景逐项版)
REQ-M4-01,赛题强制,赛题原文DOCX,5.4.1 P71-76,"大模型自动生成结构化整改任务JSON：任务标题/责任人(部门岗位)/任务来源/优先级(高中低)/截止时间","LLM findings→服务端组装RPA字段",AUD-API-01,满足(静态确认:字段逐项对齐narrative.py:315-336)
