文件,类别,审查状态,审查方式,关联审查项,未全覆盖原因
backend/pharma/__init__.py,后端,已审,静态通读,ARCH,空模块
backend/pharma/config.py,后端,已审,静态通读,ARCH/SEC,
backend/pharma/metrics.py,后端,已审,静态通读+独立复算实测,AUD-M2*/M3*/BENCH,
backend/pharma/ingestion.py,后端,已审,静态通读,AUD-DATA*/ISO,
backend/pharma/dashboard.py,后端,已审,静态通读+测试执行,AUD-M2-12,
backend/pharma/attribution.py,后端,已审,静态通读+前端实测调用,AUD-M2-13,
backend/pharma/actions.py,后端,已审,静态通读+RPA端到端实测,AUD-M4*,
backend/pharma/decision.py,后端,已审,静态通读,AUD-T-08,
backend/pharma/narrative.py,后端,已审,静态通读+端到端实测,AUD-M1-09/M2-11/MODEL*,
backend/pharma/knowledge.py,后端,已审,静态通读+RAG实测,AUD-M1-06/07,
backend/pharma/api.py,后端,已审,静态通读,FE-01/BENCH-01,
backend/pharma/reports.py,后端,已审,静态通读+端到端实测,AUD-M1*/RPT*,
backend/pharma/model_settings.py,后端,已审,静态通读+连通实测,AUD-MODEL*,
backend/pharma/model_registry.py,后端,已审,静态通读,AUD-MODEL-01/T-07,
backend/pharma/industry.py,后端,已审,静态通读,AUD-GEN*/ISO,
backend/pharma/data_import.py,后端,已审,静态通读+子代理反证,AUD-DATA-01/02/03,
backend/pharma/import_pipeline.py,后端,已审,静态通读,AUD-DATA*,
backend/pharma/jobs.py,后端,已审,静态通读,AUD-ISO/RPT,
backend/pharma/worker.py,后端,已审,静态通读+端到端实测,AUD-RPT/DEP,
backend/pharma/locks.py,后端,已审,静态通读,ARCH,
backend/pharma/versions.py,后端,已审,静态通读,AUD-ISO-03,
backend/pharma/context_services.py,后端,已审,静态通读+RAG实测,AUD-M1-07,
backend/pharma/vector_switch.py,后端,已审,静态通读,AUD-U-05,
backend/pharma/reviews.py,后端,已审,静态通读,AUD-M1-13,
backend/pharma/revision.py,后端,已审,静态通读,ARCH,
backend/pharma/reference_report.py,后端,已审,静态通读,AUD-RPT-01,
backend/pharma/docx_compat.py,后端,已审,静态通读,AUD-RPT-02,
backend/pharma/metric_contract.py,后端,已审,静态通读+测试抽查,AUD-TEST-02,
backend/pharma/local_validation.py,后端,已审,静态通读,AUD-M4/SEC,
backend/pharma/synthetic_rpa.py,后端,已审,静态通读,AUD-M4,
backend/pharma/industry_rules.py,后端,已审,静态通读,AUD-GEN-02,
industry_packs/pharmaceutical/narrative_rules.py,行业包,已审,静态通读,AUD-M2-11,
industry_packs/pharmaceutical/source_contract.json,行业包,已审,静态通读+解析实测,M2口径,
industry_packs/pharmaceutical/其他8个json,行业包,部分审,经代码消费路径+测试确认行为,GEN,声明式配置逐键人工核对未做
industry_packs/mechanical_demo/*(7),行业包,部分审,清单级+测试覆盖,GEN,默认不进正式目录的合成演示包
industry_packs/chemical_demo/*(7),行业包,部分审,清单级+测试覆盖,GEN,同上
frontend/src/*.tsx(20)+*.ts(5)+css+echarts-gl.d.ts,前端,已审,静态通读(27文件全读),FE-01/02/03,
frontend/e2e-context.mjs,前端脚本,部分审,首注释+用途确认,TEST,浏览器端脚本本轮未执行
frontend/e2e-dashboard.mjs,前端脚本,部分审,首注释+用途确认,TEST,同上
frontend/e2e-knowledge-graph.mjs,前端脚本,部分审,首注释+用途确认,TEST,同上
frontend/e2e-live.mjs,前端脚本,部分审,首注释+用途确认,TEST,同上
frontend/record-demo.mjs,前端脚本,部分审,首注释+用途确认,DEL-04,演示录像工具
frontend/record_demo_20260918.mjs(+test),前端脚本,部分审,首注释+node测试CI执行,DEL-04,录像工具
frontend/record_full_demo_20260920.mjs,前端脚本,部分审,首注释+用途确认,DEL-04,录像工具
frontend/index.html|vite.config.ts|tsconfig.json|package.json,前端配置,已审,静态通读,ARCH,
frontend/package-lock.json,依赖锁,排除,版本表经third_party_reuse核对,LIC,可重建锁文件不逐行审
scripts/manage.py,脚本,已审,静态通读,DEP,
scripts/verify.py,脚本,已审,静态通读,TEST/DEL-03,
scripts/run_acceptance.py,脚本,已审,静态通读,DEL-03,
scripts/fetch_embedding.py,脚本,已审,静态通读,DEP,
scripts/check_environment.py,脚本,已审,静态通读,DEP,
scripts/probe_glm.py,脚本,已审,静态通读,MODEL,
scripts/bootstrap.sh|start.sh|stop.sh|pharma_python.sh,脚本,已审,静态通读,DEP,
scripts/check_dependencies.py|build_inputs.py,脚本,部分审,经调用方确认行为,DEP,依赖探测低风险工具
scripts/generate_scenarios.py,脚本,部分审,用途确认,DEL-03,场景清单生成
scripts/build_demo_deck.py,脚本,部分审,用途确认,DEL-05,PPT生成工具
scripts/generate_synthetic_plant2_details.py,脚本,部分审,用途确认+测试覆盖,M3-02,默认停用的合成明细生成器
deploy/Dockerfile|docker-compose.yml|entrypoint.sh|launcher.ps1,部署,已审,静态通读,DEP-01/02,
.github/workflows/application.yml,CI,部分审,前60行含全部构建/测试步骤,TEST-01,尾部若有附加步骤未读
.github/workflows/repository-contracts.yml,CI,已审,静态通读,TEST-01,
tools/verify_repository.py,工具,部分审,头部+用途,DEL,仓库导航检查器非业务代码
tests/*.py(47个),测试,部分审(执行级全审),隔离环境全量执行387绿+抽查3文件写法,TEST-01,逐行审读未做
docs/(应用级约20个文档),文档,部分审,关键文档全读(README/rag/evaluation/publication/third_party头部/architecture图存在),DEL-02,其余文档按引用点核对
